;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
0;abeu - centro universitário;9696;administração;9;335;2.69;60,1
1;abeu - centro universitário;105914;análise e desenvolvimento de sistemas;10;169;5.92;68,6
2;abeu - centro universitário;9697;ciências contábeis;3;100;3.0;57
3;abeu - centro universitário;19606;direito;8;241;3.32;60,6
4;abeu - centro universitário;48800;educação física;8;272;2.94;66,7
5;abeu - centro universitário;73655;enfermagem;9;310;2.9;56,8
6;abeu - centro universitário;108474;farmácia;8;211;3.79;52,6
7;abeu - centro universitário;56095;fisioterapia;2;19;10.53;78,9
8;abeu - centro universitário;105996;gestão de recursos humanos;5;192;2.6;52,6
9;abeu - centro universitário;69468;história;2;112;1.79;52,7
10;abeu - centro universitário;69780;letras;27;174;15.52;55,2
11;abeu - centro universitário;69470;matemática;2;85;2.35;58,8
12;abeu - centro universitário;9699;pedagogia;22;162;13.58;50
13;abeu - centro universitário;5000006;psicologia;8;105;7.62;56,2
14;abeu - centro universitário;79443;serviço social;5;111;4.5;65,5
15;centro de ensino superior de ilhéus;56058;administração;12;109;11.01;84,4
16;centro de ensino superior de ilhéus;56163;ciências contábeis;25;84;29.76;71,4
17;centro de ensino superior de ilhéus;104436;direito;13;218;5.96;72,5
18;centro de ensino superior de ilhéus;109288;enfermagem;20;150;13.33;69,3
19;centro de ensino superior de ilhéus;109286;nutrição;23;116;19.83;74,1
20;centro de ensino superior de juiz de fora;119954;design de moda;3;72;4.17;72,2
21;centro de ensino superior de juiz de fora;122670;gastronomia;13;250;5.2;37,6
22;centro de ensino superior de vitória;21079;direito;5;32;15.62;71
23;centro de ensino superior de vitória;29680;letras - inglês;5;6;83.33;66,7
24;centro de ensino superior de vitória;27815;letras - língua portuguesa;5;26;19.23;76,9
25;centro de ensino superior do amapá;18220;administração;22;116;18.97;72,4
26;centro de ensino superior do amapá;90644;arquitetura e urbanismo;4;164;2.44;76,8
27;centro de ensino superior do amapá;17304;ciências contábeis;2;63;3.17;82,5
28;centro de ensino superior do amapá;90703;design;3;42;7.14;88,1
29;centro de ensino superior do amapá;17303;direito;15;277;5.42;84,1
30;centro de ensino superior do amapá;90701;educação física;4;123;3.25;78
31;centro de estudos superiores aprendiz;56316;direito;10;44;22.73;40,9
32;centro regional universitário de espírito santo do pinhal;19682;administração;17;78;21.79;62,2
33;centro regional universitário de espírito santo do pinhal;62728;ciências biológicas;1;81;1.23;56,8
34;centro regional universitário de espírito santo do pinhal;19684;direito;17;73;23.29;78,1
35;centro regional universitário de espírito santo do pinhal;62740;enfermagem;6;13;46.15;84,6
36;centro regional universitário de espírito santo do pinhal;19683;engenharia agronômica;10;38;26.32;65,8
37;centro regional universitário de espírito santo do pinhal;21565;engenharia ambiental e sanitária;8;23;34.78;78,3
38;centro regional universitário de espírito santo do pinhal;65759;engenharia de computação;3;14;21.43;71,4
39;centro regional universitário de espírito santo do pinhal;113253;engenharia mecatrônica;9;19;47.37;68,4
40;centro regional universitário de espírito santo do pinhal;21567;farmácia;19;34;55.88;64,7
41;centro regional universitário de espírito santo do pinhal;21568;fisioterapia;3;19;15.79;73,7
42;centro regional universitário de espírito santo do pinhal;111686;gastronomia;4;12;33.33;58,3
43;centro regional universitário de espírito santo do pinhal;34539;letras - português e inglês;1;9;11.11;66,7
44;centro regional universitário de espírito santo do pinhal;19685;medicina veterinária;13;33;39.39;72,7
45;centro regional universitário de espírito santo do pinhal;54373;pedagogia;5;17;29.41;70,6
46;centro técnico-educacional superior do oeste paranaense;19893;administração;6;50;12.0;34,1
47;centro técnico-educacional superior do oeste paranaense;52883;geografia;5;39;12.82;28,2
48;centro técnico-educacional superior do oeste paranaense;53516;história;3;28;10.71;25
49;centro técnico-educacional superior do oeste paranaense;54809;matemática;4;32;12.5;21,9
50;centro técnico-educacional superior do oeste paranaense;17028;pedagogia;4;35;11.43;20
51;centro técnico-educacional superior do oeste paranaense;50441;sistemas de informação;6;21;28.57;42,9
52;centro universitario projeção;22027;administração;69;323;21.36;57
53;centro universitario projeção;105644;análise e desenvolvimento de sistemas;20;108;18.52;50
54;centro universitario projeção;22071;ciências contábeis;53;222;23.87;49,3
55;centro universitario projeção;34612;comunicação social - publicidade e propaganda;47;180;26.11;53,9
56;centro universitario projeção;57522;direito;110;396;27.78;40,1
57;centro universitario projeção;54672;geografia;30;60;50.0;38,3
58;centro universitario projeção;50733;história;41;98;41.84;44,9
59;centro universitario projeção;107606;logística;16;52;30.77;51,9
60;centro universitario projeção;109662;redes de computadores;26;66;39.39;43,9
61;centro universitario projeção;94260;sistema de informação;42;93;45.16;97,8
62;centro universitario projeção;109476;sistemas de informação;6;163;3.68;42,3
63;centro universitário amparense;37797;administração;23;96;23.96;80,2
64;centro universitário amparense;72337;análise e desenvolvimento de sistemas;7;60;11.67;68,3
65;centro universitário amparense;98597;biomedicina;5;37;13.51;64,9
66;centro universitário amparense;119296;ciências biológicas;11;34;32.35;58,8
67;centro universitário amparense;19716;ciências contábeis;7;29;24.14;75,9
68;centro universitário amparense;119298;educação física;10;62;16.13;69,4
69;centro universitário amparense;98577;enfermagem;5;25;20.0;84
70;centro universitário amparense;119368;engenharia civil;4;69;5.8;87
71;centro universitário amparense;119370;engenharia de produção;3;34;8.82;94,1
72;centro universitário amparense;98587;gestão ambiental;9;16;56.25;50
